update,global_steps,stage,episodes,average_return,success_rate,collision_rate,timeout_rate,wall_collision_rate,window_collision_rate,progress_delta_mean,progress_reward_mean,risk_penalty_mean,wall_penalty_mean,center_penalty_mean,closed_window_penalty_mean,alignment_reward_mean,gap_alignment_reward_mean,average_action_norm,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_average_steps,loss,policy_loss,value_loss,entropy,approx_kl,old_approx_kl,clip_fraction,ppo_updates,ppo_evaluations,early_stop_epoch,advantage_mean,advantage_std,explained_variance,log_std_mean,std_mean
1,24576,C4A,17,67.22798817814402,0.17647058823529413,0.8235294117647058,0.0,0.0,0.8235294117647058,0.18504919813130982,0.2220590377575718,-2.2647850120847573e-05,-0.006617719542546939,-0.0175970954739023,0.0,0.24644468300139125,0.0011449625227067097,0.579665454748465,0.875,0.125,0.0,265.5,45.27497919400533,0.003364418439256648,90.54322957992554,-0.7621228694915771,0.00868860487389611,0.006854913083467788,0.20475260416666666,24.0,24.0,0.0,2.1742982864379883,9.272271156311035,-2.86102294921875e-06,-1.7999999523162842,0.16529890894889832
2,28672,C4A,16,71.17333320009128,0.25,0.75,0.0,0.0625,0.6875,0.18247498080017976,0.2189699769602157,-2.2440455082687543e-05,-0.007291950252685167,-0.018390993660486857,0.0,0.24290733995688926,0.0005954164451474116,0.5721363135407955,,,,,41.33816862106323,0.0004177546361461282,82.67550150553386,-0.7621228694915771,0.004412877020513406,0.003833724994668349,0.106689453125,24.0,24.0,0.0,2.4837446212768555,8.75745964050293,-2.9206275939941406e-05,-1.7999999523162842,0.16529890894889832
3,32768,C4A,20,44.460223933108985,0.1,0.9,0.0,0.4,0.5,0.18710065257619135,0.22452078309142962,-2.0028644095873457e-05,-0.006734745417389717,-0.018159268464251,0.0,0.24842705372101365,0.0007456036803089051,0.5839053940408121,,,,,54.36313549677531,-0.0010042137194735308,108.72827974955241,-0.7621228694915771,0.004531469491970104,0.006179792544571683,0.10359700520833333,24.0,24.0,0.0,1.2631868124008179,10.354822158813477,1.7881393432617188e-06,-1.7999999523162842,0.16529890894889832
4,36864,C4A,19,41.84650548409146,0.05263157894736842,0.9473684210526315,0.0,0.15789473684210525,0.7894736842105263,0.1857903396594338,0.22294840759132056,-2.335226965078618e-05,-0.006554175129273618,-0.018029245889847518,0.0,0.2457536628350681,0.0009753859746266802,0.5794441132202337,,,,,53.45907004674276,0.0020025510845395425,106.91413434346516,-0.7621228694915771,0.007183683850598754,0.008691426227111757,0.17041015625,24.0,24.0,0.0,1.0471116304397583,10.290224075317383,4.589557647705078e-06,-1.7999999523162842,0.16529890894889832
5,40960,C4A,17,59.42799243724524,0.23529411764705882,0.7647058823529411,0.0,0.11764705882352941,0.6470588235294118,0.18656539401854388,0.22387847282225268,-1.8923919531516727e-05,-0.00664693878027991,-0.017662698569129137,0.0,0.24829102007271903,0.0006862359316354568,0.5837832669203635,0.5,0.5,0.0,272.25,44.8035577138265,-0.0003306667398040493,89.6077766418457,-0.7621228694915771,0.005023465421497046,0.006991311580350157,0.12410481770833333,24.0,24.0,0.0,2.3982391357421875,9.166728019714355,3.2782554626464844e-06,-1.7999999523162842,0.16529890894889832
6,45056,C4A,17,56.77971863056762,0.11764705882352941,0.8823529411764706,0.0,0.0,0.8823529411764706,0.188049862801563,0.2256598353618756,-2.347846540214959e-05,-0.006313174445886709,-0.017315787762508993,0.0,0.2503291576649076,0.0010505785670632292,0.5868484554202951,,,,,48.03972943623861,0.0004386661263803641,96.07858212788899,-0.7621228694915771,0.002671630255160077,0.0024724802618341832,0.057373046875,24.0,24.0,0.0,1.8879344463348389,9.625872611999512,5.125999450683594e-06,-1.7999999523162842,0.16529890894889832
7,49152,C4A,16,66.89440384912197,0.0625,0.9375,0.0,0.125,0.8125,0.1876306043122895,0.22515672517474739,-1.724352533346973e-05,-0.0062978969562546856,-0.017212312634255798,0.0,0.24979424686227958,0.0008958079283090357,0.5854831163769632,,,,,48.11213334401449,0.0034632130603616438,96.21733983357747,-0.7621228694915771,0.009113339864901112,0.009302723704119368,0.21451822916666666,24.0,24.0,0.0,1.7662458419799805,9.655595779418945,-2.181529998779297e-05,-1.7999999523162842,0.16529890894889832
8,53248,C4A,19,42.57629650818992,0.0,1.0,0.0,0.10526315789473684,0.8947368421052632,0.19095894723432139,0.22915073668118566,-2.5459527343627988e-05,-0.0064178921953015325,-0.017469237090263053,0.0,0.2529879797601097,0.0012582453681106076,0.5935868679644045,,,,,56.30799277623495,3.9730104617774487e-05,112.61590544382732,-0.7621228694915771,0.005106244140430742,0.006184322481810038,0.12150065104166667,24.0,24.0,0.0,0.9541046619415283,10.572174072265625,1.7881393432617188e-06,-1.7999999523162842,0.16529890894889832
9,57344,C4A,16,67.70914501290048,0.1875,0.8125,0.0,0.0625,0.75,0.1901214150711894,0.22814569808542728,-2.4685051510459738e-05,-0.006506566475307152,-0.017654741967667177,0.0,0.25226860819573177,0.001061553974174326,0.591416320915414,,,,,44.384600480397545,0.0018026200511182349,88.76559607187907,-0.7621228694915771,0.004372483154535682,0.004165008567118396,0.10888671875,24.0,24.0,0.0,2.3803999423980713,9.12527847290039,1.7881393432617188e-07,-1.7999999523162842,0.16529890894889832
10,61440,C4A,16,81.41804096716767,0.375,0.625,0.0,0.0625,0.5625,0.19198896139278077,0.23038675367133693,-2.0917732719681217e-05,-0.006185265041025654,-0.016980369450648142,0.0,0.2552622337138587,0.000562126873191157,0.5966455690577277,1.0,0.0,0.0,262.0,40.17040252685547,-0.00039059825940057635,80.3415862719218,-0.7621228694915771,0.0033474159014682905,0.004102338512893766,0.07356770833333333,24.0,24.0,0.0,3.3249831199645996,8.339190483093262,0.0,-1.7999999523162842,0.16529890894889832
